job_id,inferred,type,industry_id,skill_abr
3690843087,0,Medical insurance,47,ACCT
3690843087,0,Medical insurance,47,FIN
3690843087,0,Dental insurance,47,ACCT
3690843087,0,Dental insurance,47,FIN
3690843087,0,401(k),47,ACCT
3690843087,0,401(k),47,FIN
3690843087,0,Paid maternity leave,47,ACCT
3690843087,0,Paid maternity leave,47,FIN
3690843087,0,Disability insurance,47,ACCT
3690843087,0,Disability insurance,47,FIN
3690843087,0,Vision insurance,47,ACCT
3690843087,0,Vision insurance,47,FIN
3691775263,0,Medical insurance,112,MGMT
3691775263,0,Medical insurance,112,MNFC
3691775263,0,Vision insurance,112,MGMT
3691775263,0,Vision insurance,112,MNFC
3691775263,0,Dental insurance,112,MGMT
3691775263,0,Dental insurance,112,MNFC
3691775263,0,401(k),112,MGMT
3691775263,0,401(k),112,MNFC
3691775263,0,Tuition assistance,112,MGMT
3691775263,0,Tuition assistance,112,MNFC
3691775263,0,Disability insurance,112,MGMT
3691775263,0,Disability insurance,112,MNFC
3691792844,0,Medical insurance,116,ENG
3691792844,0,Medical insurance,116,IT
3691792844,0,401(k),116,ENG
3691792844,0,401(k),116,IT
3691792844,0,Pension plan,116,ENG
3691792844,0,Pension plan,116,IT
3691792844,0,Dental insurance,116,ENG
3691792844,0,Dental insurance,116,IT
3691793575,1,Medical insurance,13,ADM
3691794313,1,Vision insurance,87,ADM
3691794313,1,401(k),87,ADM
3691794313,1,Dental insurance,87,ADM
3691794313,1,Medical insurance,87,ADM
3691795389,1,Vision insurance,87,SALE
3691795389,1,401(k),87,SALE
3691796226,0,Medical insurance,50,DSGN
3691796226,0,Medical insurance,50,ART
3691796226,0,Medical insurance,50,IT
3691796226,0,Vision insurance,50,DSGN
3691796226,0,Vision insurance,50,ART
3691796226,0,Vision insurance,50,IT
3691796226,0,Dental insurance,50,DSGN
3691796226,0,Dental insurance,50,ART
3691796226,0,Dental insurance,50,IT
3691796226,0,401(k),50,DSGN
3691796226,0,401(k),50,ART
3691796226,0,401(k),50,IT
3691797979,1,Medical insurance,70,ENG
3691797979,1,Medical insurance,70,IT
3691799471,1,401(k),25,OTHR
3691799471,1,401(k),25,RSCH
3691799471,1,401(k),18,OTHR
3691799471,1,401(k),18,RSCH
